# ----------------------------------------
# Vue d'ensemble "Comprendre le trafic Web et/ou dans votre application"
# Compte : H Sèchement
# Propriété : H Sèchement 
# ----------------------------------------
#  
# Date de début : 20250101
# Date de fin : 20250726
Identifiant du pays,Utilisateurs actifs
0064,0.20689655172413793,0.4444444444444444,0.46551724137931033
0065,0.1,0.2222222222222222,0.45
0066,0.03333333333333333,0.08695652173913043,0.38333333333333336
0067,0.016666666666666666,0.043478260869565216,0.38333333333333336
0068,0.06557377049180328,0.2,0.32786885245901637
0069,0.0967741935483871,0.3,0.3225806451612903
0070,0.140625,0.4090909090909091,0.34375
0071,0.11764705882352941,0.42105263157894735,0.27941176470588236
0072,0.07246376811594203,0.29411764705882354,0.2463768115942029
0073,0.0784313725490196,0.21052631578947367,0.37254901960784315
0074,0,0,0.37254901960784315
0075,0.12962962962962962,0.3181818181818182,0.4074074074074074
0076,0.01818181818181818,0.045454545454545456,0.4
0077,0.15,0.34615384615384615,0.43333333333333335
0078,0.1111111111111111,0.25925925925925924,0.42857142857142855
0079,0.045454545454545456,0.10344827586206896,0.4393939393939394
0080,0,0,0.40625
0081,0.03076923076923077,0.07142857142857142,0.4307692307692308
0082,0.04477611940298507,0.125,0.3582089552238806
0083,0.18421052631578946,0.3888888888888889,0.47368421052631576
0084,0.075,0.17647058823529413,0.425
0085,0.012658227848101266,0.03571428571428571,0.35443037974683544
0086,0.0375,0.1111111111111111,0.3375
0087,0.037037037037037035,0.10344827586206896,0.35802469135802467
0088,0.037037037037037035,0.10344827586206896,0.35802469135802467
0089,0.037037037037037035,0.10344827586206896,0.35802469135802467
0090,0.012195121951219513,0.058823529411764705,0.2073170731707317
0091,0.05063291139240506,0.26666666666666666,0.189873417721519
0092,0.038461538461538464,0.2,0.19230769230769232
0093,0.025974025974025976,0.15384615384615385,0.16883116883116883
0094,0.013888888888888888,0.08333333333333333,0.16666666666666666
0095,0.014084507042253521,0.09090909090909091,0.15492957746478872
0096,0.08108108108108109,0.46153846153846156,0.17567567567567569
0097,0.02666666666666667,0.15384615384615385,0.17333333333333334
0098,0.05128205128205128,0.26666666666666666,0.19230769230769232
0099,0.01282051282051282,0.06666666666666667,0.19230769230769232
0100,0.08641975308641975,0.35,0.24691358024691357
0101,0.06097560975609756,0.20833333333333334,0.2926829268292683
0102,0.05813953488372093,0.17857142857142858,0.32558139534883723
0103,0.03488372093023256,0.125,0.27906976744186046
0104,0.054945054945054944,0.18518518518518517,0.2967032967032967
0105,0.034482758620689655,0.12,0.28735632183908044
0106,0,0,0.29069767441860467
0107,0,0,0.25
0108,0,0,0.2
0109,0.0136986301369863,0.09090909090909091,0.1506849315068493
0110,0.02666666666666667,0.18181818181818182,0.14666666666666667
0111,0,0,0.0821917808219178
0112,0.05405405405405406,0.5714285714285714,0.0945945945945946
0113,0.046875,0.3,0.15625
0114,0,0,0.1694915254237288
0115,0.017241379310344827,0.1,0.1724137931034483
0116,0,0,0.16071428571428573
0117,0.018518518518518517,0.125,0.14814814814814814
0118,0.03773584905660377,0.2,0.18867924528301888
0119,0,0,0.12
0120,0.02,0.2,0.1
0121,0,0,0.10204081632653061
0122,0,0,0.08333333333333333
0123,0,0,0.0851063829787234
0124,0.041666666666666664,0.4,0.10416666666666667
0125,0.041666666666666664,0.4,0.10416666666666667
